OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude
7337,TA BATTLE CREEK,"I-94, EXIT 104",Battle Creek,MI,385,4.039,44.2129975,-96.8404804
7341,INTERSTATE TRAVEL PLAZA,"I-495, EXIT 14A & US-1",Wrentham,MA,175,3.699,33.6696824,-97.1527179
7344,BEST QUICK STOP,US-1,Peabody,MA,178,3.61566666,42.5349141,-70.9892894
7360,KINGS TRUCK STOP,ST 103,Port Barre                              ,LA,600,3.189,18.0215723,-76.7943542
7364,Petro Stopping Center,"I-80, EXIT 226",Girard,OH,573,3.45233333,35.1810309,-107.9038246
7370,TA SMITHS GROVE,"I-65, EXIT 38 & SR-101",Smiths Grove,KY,415,3.43233333,37.0525453,-86.2077608
7371,One9 #392,"I-65, EXIT 81 & SR-84",Sonora,KY,415,3.19566666,36.0607925,-79.6621722
7387,TA Oakley,"I-70, EXIT 76 & US-40/US-83",Oakley,KS,525,3.649,39.1179005,-100.810744
7416,GOOD TO GO #40,"I-65, EXIT 215 & SR-114",Rensselaer,IN,290,3.20066666,35.7252094,139.5942553
7417,SKY CITGO,US-30 & SR-23,Grovertown,IN,365,3.499,28.4600772,-81.3975811
7425,Petro Brazil,"I-70,  EXIT 23",Brazil,IN,375,3.989,39.4445762,-87.1277589
7429,TA CLAYTON,"I-70, EXIT 59 & SR-39",Clayton,IN,375,3.939,40.4605637,17.3004283
7435,PETRO STOPPING CENTER #375,"I-65, EXIT 201 & US-231/US-24",Remington,IN,365,3.699,35.1810309,-107.9038246
7436,TA WHITESTOWN,"I-65/US-52, EXIT 130",Whitestown,IN,375,3.57066666,54.8264798,-6.184448
7437,PETRO STOPPING CENTER #379,"I-74,  EXIT 143",Greensburg,IN,375,3.999,35.1810309,-107.9038246
7495,RACETRAC #2574,"I-75, EXIT 237, SR-331 & US-41",Forest Park,GA,18,3.109,46.2466404,23.1058649
7504,TEXACO,"I-75, EXIT 306 & SR-140",Adairsville,GA,193,3.10566666,10.4048559,-75.5239034
7545,CITGO,"I-95, EXIT 40",Milford,CT,100,3.399,42.2279712,-83.1484553
7551,PWI #525,"I-70, EXIT 295",Watkins,CO,800,3.139,-6.2336662,106.8866389
7611,LOVES TRAVEL STOP #167,"I-44, EXIT 83",Chickasha                               ,OK,483,3.16566666,41.5092474,-112.0537895
7625,LOVES TRAVEL STOP #248,"I-40, EXIT 71",Clinton,OK,483,3.17233333,41.5092474,-112.0537895
7627,DAVIS TRADING POST,"I-35, EXIT 55",Davis                                   ,OK,569,2.979,35.0858852,-81.867486
7635,TA MONTGOMERY TRAVEL CENTER,"I-65, EXIT 168 & US-80/US-82/SR-6/SR-8",Montgomery,AL,720,3.25233333,38.0861699,-83.8981633
7655,LOVES TRAVEL STOP #253,I-40 EXIT 7 & SR 30,Erick,OK,483,3.20566666,41.5092474,-112.0537895
7705,FLYING J TRAVEL PLAZA #610,"I-40, EXIT 53",Kingman,AZ,910,3.88233333,44.4710928,-93.2946643
7708,PILOT TRAVEL CENTER #352,"I-75, EXIT 139",Fort Myers                              ,FL,225,3.799,43.1215756,-71.4808431
7718,MR FUEL #717,"I-44, EXIT 251",Villa Ridge,MO,540,3.01566666,9.2932006,123.2761026
7719,FLYING J TRAVEL PLAZA #674,"I-70, EXIT 188",Warrenton,MO,540,3.11566666,30.8118225,-97.6109688
7722,SAPP BROS TRAVEL CENTER,"I-80, EXIT 353 & US-81",York,NE,330,3.324,41.366671,-89.1521604
7724,FUEL MART #767,US-6 & US-23,Bradner,OH,550,3.40733333,40.9880825,-75.144269
7725,BELL STORES #48,US-30 & SR-94,Dalton,OH,249,3.38566666,40.9724803,-82.1099971
7733,FLYING J TRAVEL PLAZA #723,"I-40, EXIT 76",Amarillo,TX,585,3.26566666,44.4710928,-93.2946643
7746,PILOT TRAVEL CENTER #888,"I-27, EXIT 74",Tulia,TX,585,3.34066666,43.1215756,-71.4808431
7753,LOVES TRAVEL STOP #166,SR-351,Muskogee,OK,560,3.33733333,41.5092474,-112.0537895
